@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
11,8,33886,poly-kalos
42,6,857,adiaforos
23,32,6086,poly-kalos
37,5,2413,poly-kalos
15,5,1258,poly-kalos
4,18,20979,poly-kalos
26,4,871,proin-pistos
35,13,2703,poly-kalos
35,12,5228,poly-kalos
37,7,6308,poly-kalos
83,3,4326,poly-kalos
2,21,12956,poly-kalos
18,7,10967,proin-pistos
0,67,66802,poly-kalos
2,5,1927,poly-kalos
55,14,7948,proin-pistos
26,12,2925,poly-kalos
85,25,30639,poly-kalos
112,5,2162,poly-kalos
8,6,2579,poly-kalos
14,10,3898,poly-kalos
1,7,2369,poly-kalos
7,4,3755,poly-kalos
9,19,15132,poly-kalos
8,19,34603,pistos
20,9,9470,efkairia
2,18,7163,poly-kalos
10,4,1132,poly-kalos
22,15,19572,poly-kalos
11,3,2750,palia-eykairia
2,3,824,efkairia
1,5,1044,poly-kalos
15,17,7613,poly-kalos
1,12,9520,poly-kalos
18,23,12822,poly-kalos
23,8,2275,poly-kalos
0,3,1134,poly-kalos
4,32,9897,adiaforos
72,6,3084,adiaforos
48,9,2739,adiaforos
23,3,1689,poly-kalos
1,21,19052,poly-kalos
47,3,2729,poly-kalos
10,5,1282,poly-kalos
18,12,8825,poly-kalos
23,11,6575,poly-kalos
27,16,5211,proin-kalos
60,8,3675,poly-kalos
57,6,1275,pistos
74,7,9437,poly-kalos
0,29,4032,poly-kalos
12,7,3601,efkairia
4,43,21307,poly-kalos
28,3,1308,palia-eykairia
57,4,966,poly-kalos
32,4,1274,poly-kalos
10,17,10418,poly-kalos
1,15,9737,poly-kalos
32,11,937,poly-kalos
36,3,1076,poly-kalos
26,30,9860,poly-kalos
26,9,1622,poly-kalos
11,10,5332,poly-kalos
26,4,1136,pistos
7,9,3710,poly-kalos
25,9,3346,poly-kalos
3,8,2001,poly-kalos
7,14,6471,poly-kalos
2,10,13715,pistos
10,8,4793,poly-kalos
0,3,1092,pistos
10,5,1471,poly-kalos
41,18,17327,poly-kalos
9,23,13714,poly-kalos
1,4,814,poly-kalos
36,7,3529,poly-kalos
19,4,2407,proin-pistos
14,4,966,poly-kalos
109,5,1947,proin-pistos
36,6,1423,poly-kalos
97,11,14666,poly-kalos
16,14,7324,poly-kalos
0,3,2198,adiaforos
25,8,6745,efkairia
11,3,1483,poly-kalos
10,28,12699,poly-kalos
18,4,3801,poly-kalos
36,6,2526,efkairia
11,3,1807,poly-kalos
54,15,4265,poly-kalos
27,3,1164,poly-kalos
4,3,1854,poly-kalos
13,3,1880,poly-kalos
57,3,1578,proin-pistos
7,7,1299,poly-kalos
91,4,4377,poly-kalos
7,5,1903,poly-kalos
7,12,1737,poly-kalos
7,3,1078,poly-kalos
7,4,2187,poly-kalos
0,3,2204,poly-kalos
74,4,4666,poly-kalos
23,4,4697,proin-kalos
27,7,5679,poly-kalos
44,9,6524,poly-kalos
1,13,2463,adiaforos
33,8,1850,proin-kalos
0,22,7127,poly-kalos
53,7,2728,poly-kalos
8,11,2111,poly-kalos
43,5,5232,poly-kalos
2,12,4160,poly-kalos
23,3,1040,poly-kalos
19,6,4288,poly-kalos
13,4,1124,poly-kalos
74,4,15028,palia-eykairia
11,16,10750,pistos
29,10,13693,poly-kalos
1,27,12390,poly-kalos
79,11,10619,poly-kalos
1,18,8401,poly-kalos
109,11,3242,efkairia
22,3,2022,poly-kalos
10,10,7264,poly-kalos
39,8,3653,poly-kalos
1,8,7643,poly-kalos
20,3,1448,poly-kalos
54,7,8786,poly-kalos
78,3,1130,poly-kalos
82,5,2287,proin-kalos
96,4,2279,poly-kalos
30,6,3654,poly-kalos
12,59,3995,poly-kalos
3,12,6122,poly-kalos
70,4,2227,avevaios
0,3,1345,efkairia
74,4,1687,poly-kalos
8,4,2123,poly-kalos
9,12,2175,poly-kalos
4,9,7024,poly-kalos
40,7,5639,poly-kalos
13,4,820,proin-pistos
47,6,850,proin-pistos
2,16,2174,avevaios
11,7,3105,poly-kalos
97,6,1390,efkairia
95,4,945,poly-kalos
28,8,2711,proin-kalos
1,3,778,poly-kalos
3,12,6142,adiaforos
0,27,5767,palia-eykairia
4,4,2534,pistos
81,5,1136,poly-kalos
15,3,1690,proin-pistos
11,12,1279,poly-kalos
71,4,913,poly-kalos
7,4,2723,proin-kalos
13,7,1942,poly-kalos
104,9,2871,poly-kalos
3,6,2211,poly-kalos
60,6,2303,poly-kalos
106,4,11466,poly-kalos
85,3,1584,poly-kalos
68,8,1919,poly-kalos
90,11,2978,poly-kalos
54,4,1340,poly-kalos
21,4,2580,poly-kalos
