@relation RFM-weka.filters.unsupervised.attribute.AddNoise-Clast-P30-S2

@attribute R numeric
@attribute F numeric
@attribute M numeric
@attribute class {poly-kalos,pistos,avevaios,efkairia,adiaforos,palia-eykairia,proin-pistos,proin-kalos}

@data
216,1,101,palia-eykairia
215,1,0,adiaforos
197,1,353,adiaforos
195,1,265,efkairia
186,1,227,efkairia
169,1,282,adiaforos
182,1,63,adiaforos
120,2,761,adiaforos
176,1,118,adiaforos
176,1,689,avevaios
170,1,678,adiaforos
166,2,174,adiaforos
166,1,336,proin-pistos
165,1,34,proin-kalos
165,1,416,proin-kalos
165,1,149,adiaforos
163,1,8,adiaforos
162,1,235,adiaforos
162,1,706,adiaforos
156,1,96,efkairia
155,1,182,adiaforos
155,1,222,adiaforos
153,1,80,proin-pistos
153,1,295,adiaforos
141,2,255,adiaforos
124,2,737,adiaforos
146,1,83,adiaforos
140,1,393,efkairia
140,1,279,efkairia
139,1,88,adiaforos
135,1,0,pistos
134,1,176,adiaforos
134,1,105,adiaforos
126,1,613,palia-eykairia
126,1,105,adiaforos
125,1,93,adiaforos
124,1,139,adiaforos
124,1,118,adiaforos
225,1,92,adiaforos
258,2,445,avevaios
238,1,88,poly-kalos
151,1,143,adiaforos
142,1,189,palia-eykairia
167,1,161,poly-kalos
347,1,231,adiaforos
167,1,315,adiaforos
179,1,386,palia-eykairia
154,1,86,adiaforos
326,2,628,adiaforos
153,2,282,proin-kalos
320,1,0,pistos
228,2,235,proin-pistos
266,1,227,poly-kalos
258,1,269,pistos
117,1,71,efkairia
321,1,286,adiaforos
341,1,386,pistos
341,1,303,adiaforos
340,1,187,adiaforos
336,1,421,adiaforos
336,1,231,adiaforos
225,2,330,adiaforos
330,1,388,proin-kalos
327,1,61,adiaforos
327,1,756,adiaforos
326,1,160,adiaforos
284,1,248,adiaforos
282,1,55,adiaforos
256,1,202,adiaforos
251,1,42,adiaforos
251,1,103,palia-eykairia
230,1,723,adiaforos
229,1,277,efkairia
225,1,130,adiaforos
222,1,92,adiaforos
214,1,239,adiaforos
207,1,46,adiaforos
207,1,90,adiaforos
197,1,202,avevaios
195,1,227,adiaforos
191,1,185,adiaforos
183,1,155,adiaforos
180,1,161,adiaforos
169,1,324,adiaforos
168,1,240,adiaforos
167,1,33,poly-kalos
161,1,159,avevaios
160,1,323,adiaforos
158,1,295,adiaforos
155,1,20,proin-pistos
154,1,677,adiaforos
144,1,471,adiaforos
142,1,10,adiaforos
141,1,286,adiaforos
134,1,223,avevaios
134,1,286,adiaforos
133,1,71,adiaforos
131,1,40,adiaforos
126,1,470,pistos
119,1,588,poly-kalos
113,1,203,adiaforos
194,1,588,adiaforos
169,2,592,adiaforos
165,1,269,adiaforos
363,1,93,adiaforos
352,1,663,adiaforos
352,1,63,pistos
349,1,257,adiaforos
349,1,122,adiaforos
349,1,361,adiaforos
347,1,286,adiaforos
334,2,439,poly-kalos
344,1,130,adiaforos
342,1,131,adiaforos
340,1,311,adiaforos
333,1,156,adiaforos
329,1,131,adiaforos
322,1,101,adiaforos
230,1,97,adiaforos
214,1,231,efkairia
207,1,256,adiaforos
203,1,109,adiaforos
187,1,176,adiaforos
176,1,92,adiaforos
169,1,131,adiaforos
167,1,46,adiaforos
163,1,147,adiaforos
162,1,162,adiaforos
152,1,256,avevaios
151,1,102,adiaforos
145,1,245,pistos
137,1,126,proin-pistos
215,1,13,adiaforos
305,1,126,adiaforos
221,1,227,palia-eykairia
348,1,237,adiaforos
180,1,67,adiaforos
355,1,218,adiaforos
350,1,219,adiaforos
341,2,539,avevaios
347,1,545,adiaforos
347,1,38,efkairia
347,1,134,poly-kalos
344,1,136,poly-kalos
286,2,0,adiaforos
179,2,220,palia-eykairia
341,1,192,adiaforos
340,1,361,adiaforos
333,1,116,adiaforos
333,1,311,efkairia
326,1,168,adiaforos
324,1,454,avevaios
321,1,500,adiaforos
321,1,332,efkairia
321,1,118,adiaforos
313,1,235,adiaforos
313,1,33,adiaforos
292,1,244,adiaforos
291,1,176,proin-kalos
291,1,193,adiaforos
287,1,277,adiaforos
284,1,735,poly-kalos
277,1,286,avevaios
267,1,231,adiaforos
263,1,227,adiaforos
256,1,517,proin-kalos
256,1,252,adiaforos
254,1,160,adiaforos
254,1,155,efkairia
243,1,420,adiaforos
239,1,17,pistos
235,1,101,adiaforos
231,1,151,proin-kalos
229,1,466,avevaios
214,1,4,adiaforos
209,1,0,avevaios
202,1,517,adiaforos
198,1,756,adiaforos
197,1,252,adiaforos
196,1,126,efkairia
188,1,487,palia-eykairia
188,1,517,adiaforos
186,1,546,adiaforos
186,1,508,proin-pistos
184,1,252,adiaforos
177,1,61,adiaforos
173,1,0,poly-kalos
173,1,300,adiaforos
168,1,328,adiaforos
166,1,53,pistos
165,1,249,adiaforos
165,1,172,adiaforos
160,1,328,adiaforos
160,1,38,poly-kalos
155,1,752,proin-pistos
151,1,55,adiaforos
148,1,63,proin-kalos
148,1,134,adiaforos
141,1,214,poly-kalos
131,1,265,adiaforos
131,1,80,adiaforos
130,1,465,adiaforos
130,1,368,adiaforos
123,1,32,adiaforos
118,1,242,adiaforos
117,1,71,adiaforos
329,1,40,adiaforos
265,1,109,adiaforos
166,2,372,adiaforos
254,1,748,adiaforos
279,1,378,palia-eykairia
264,1,550,proin-kalos
253,1,492,poly-kalos
251,1,240,proin-kalos
216,1,203,adiaforos
197,1,130,pistos
167,1,484,adiaforos
155,1,534,adiaforos
331,2,120,adiaforos
313,1,643,poly-kalos
175,1,61,palia-eykairia
348,1,257,proin-kalos
242,2,290,avevaios
330,1,350,adiaforos
251,1,307,avevaios
139,2,55,adiaforos
228,1,492,adiaforos
355,1,0,adiaforos
148,2,423,adiaforos
148,2,332,adiaforos
195,1,164,palia-eykairia
291,1,427,proin-kalos
336,2,273,adiaforos
363,1,0,adiaforos
349,2,87,adiaforos
351,1,161,adiaforos
345,1,389,adiaforos
344,1,282,adiaforos
340,1,173,proin-pistos
340,1,219,adiaforos
340,1,71,adiaforos
334,1,182,adiaforos
236,2,267,adiaforos
284,2,168,proin-pistos
319,1,63,adiaforos
302,1,143,pistos
286,1,55,adiaforos
284,1,235,adiaforos
279,1,349,adiaforos
224,1,63,palia-eykairia
218,1,40,adiaforos
208,1,185,adiaforos
114,2,130,adiaforos
186,1,101,avevaios
158,1,46,adiaforos
156,1,71,adiaforos
153,1,109,adiaforos
145,1,300,adiaforos
145,1,38,poly-kalos
137,1,101,proin-pistos
286,1,248,pistos
147,1,193,adiaforos
337,1,484,efkairia
176,2,672,adiaforos
341,1,199,avevaios
327,1,217,adiaforos
334,1,55,adiaforos
310,1,111,pistos
280,1,134,adiaforos
235,1,332,adiaforos
235,1,46,poly-kalos
209,1,248,adiaforos
194,1,718,adiaforos
204,1,445,adiaforos
195,1,235,proin-pistos
181,1,325,adiaforos
169,1,43,adiaforos
145,1,516,poly-kalos
145,1,427,adiaforos
141,1,194,proin-kalos
118,1,87,adiaforos
114,1,0,adiaforos
164,1,217,adiaforos
163,1,86,adiaforos
156,1,381,efkairia
144,1,81,adiaforos
144,1,484,adiaforos
137,1,338,adiaforos
134,1,151,adiaforos
123,1,184,adiaforos
118,1,2,adiaforos
117,1,87,adiaforos
117,1,97,poly-kalos
356,1,176,adiaforos
355,1,0,adiaforos
354,1,218,adiaforos
351,1,292,adiaforos
173,2,221,pistos
330,1,122,palia-eykairia
286,2,279,adiaforos
316,1,697,proin-kalos
292,1,534,adiaforos
285,1,252,adiaforos
279,1,387,adiaforos
264,1,282,adiaforos
259,1,378,adiaforos
253,1,126,adiaforos
239,1,361,adiaforos
233,1,466,adiaforos
228,1,273,adiaforos
226,1,176,proin-kalos
212,2,8,adiaforos
204,1,697,adiaforos
209,1,206,adiaforos
190,1,475,adiaforos
181,1,550,adiaforos
167,1,149,avevaios
160,1,149,adiaforos
158,1,65,proin-kalos
154,1,33,adiaforos
148,1,219,adiaforos
144,1,193,adiaforos
135,1,49,adiaforos
134,1,418,adiaforos
133,1,232,adiaforos
126,1,756,avevaios
223,2,403,adiaforos
253,1,605,adiaforos
345,1,63,adiaforos
349,1,129,avevaios
183,1,298,adiaforos
251,1,63,poly-kalos
208,1,151,adiaforos
187,2,2605,pistos
257,1,2038,palia-eykairia
319,1,1744,pistos
127,2,799,palia-eykairia
235,1,2613,palia-eykairia
322,1,989,palia-eykairia
356,2,2193,proin-kalos
170,2,1820,palia-eykairia
179,2,1019,palia-eykairia
132,2,815,palia-eykairia
160,2,1165,avevaios
321,2,822,efkairia
249,1,1004,palia-eykairia
349,2,1831,palia-eykairia
291,2,945,palia-eykairia
154,1,1341,palia-eykairia
144,2,1417,palia-eykairia
160,1,828,palia-eykairia
259,2,2561,palia-eykairia
209,1,1042,palia-eykairia
257,1,908,palia-eykairia
337,1,1113,palia-eykairia
351,1,787,palia-eykairia
158,2,2570,efkairia
176,2,1049,palia-eykairia
151,2,786,palia-eykairia
357,1,2176,poly-kalos
132,1,1492,palia-eykairia
265,1,1021,palia-eykairia
153,1,1559,poly-kalos
188,1,1353,pistos
216,1,1223,palia-eykairia
126,2,1172,adiaforos
252,1,832,palia-eykairia
326,2,1743,palia-eykairia
348,1,905,proin-kalos
158,2,6826,palia-eykairia
165,1,930,proin-kalos
160,1,1966,efkairia
340,1,2087,palia-eykairia
175,2,1115,palia-eykairia
158,1,838,palia-eykairia
349,1,865,proin-pistos
133,2,2236,palia-eykairia
263,1,1151,palia-eykairia
260,1,2632,palia-eykairia
116,2,836,pistos
165,1,2185,palia-eykairia
176,1,1204,palia-eykairia
284,2,1615,palia-eykairia
215,2,1071,palia-eykairia
225,1,1082,pistos
212,2,850,palia-eykairia
267,1,1000,palia-eykairia
176,2,2259,proin-kalos
331,2,1777,palia-eykairia
162,1,1246,palia-eykairia
190,2,916,palia-eykairia
158,2,1182,palia-eykairia
334,2,1697,palia-eykairia
351,1,903,palia-eykairia
298,2,1094,palia-eykairia
193,2,857,palia-eykairia
289,1,1084,palia-eykairia
250,1,1430,palia-eykairia
218,2,4697,palia-eykairia
351,1,779,palia-eykairia
145,2,1114,proin-pistos
237,1,782,palia-eykairia
347,1,850,avevaios
249,1,1290,proin-kalos
350,2,4909,adiaforos
165,1,1170,palia-eykairia
331,1,1018,palia-eykairia
186,1,874,adiaforos
334,2,1013,adiaforos
180,1,837,avevaios
176,1,4152,palia-eykairia
362,1,832,palia-eykairia
355,1,5578,palia-eykairia
243,1,1192,proin-kalos
341,1,2365,palia-eykairia
268,2,1547,proin-pistos
211,1,1218,palia-eykairia
218,2,2542,proin-kalos
155,2,789,palia-eykairia
141,1,1842,palia-eykairia
257,2,871,proin-pistos
252,1,983,palia-eykairia
352,1,1003,adiaforos
183,1,774,pistos
214,1,1273,palia-eykairia
222,1,937,avevaios
215,2,773,palia-eykairia
230,1,874,palia-eykairia
334,2,1432,palia-eykairia
356,1,1616,palia-eykairia
282,1,1284,palia-eykairia
315,1,1168,palia-eykairia
118,2,1427,palia-eykairia
270,2,920,efkairia
165,2,935,palia-eykairia
132,2,1225,palia-eykairia
180,2,1076,palia-eykairia
200,2,1517,palia-eykairia
175,1,900,avevaios
194,1,1227,palia-eykairia
141,2,1445,palia-eykairia
127,1,1160,palia-eykairia
347,2,1123,palia-eykairia
361,1,807,palia-eykairia
252,2,879,palia-eykairia
335,1,1409,poly-kalos
193,1,1130,proin-kalos
298,1,1003,palia-eykairia
169,2,834,palia-eykairia
329,1,1112,palia-eykairia
271,2,1897,palia-eykairia
240,2,1630,palia-eykairia
237,2,1050,pistos
345,1,1256,palia-eykairia
306,1,1000,palia-eykairia
118,1,855,palia-eykairia
258,2,975,palia-eykairia
134,2,2245,palia-eykairia
230,2,1828,palia-eykairia
340,1,853,poly-kalos
153,1,1730,palia-eykairia
175,2,1481,proin-pistos
321,1,957,pistos
333,1,809,palia-eykairia
340,2,2230,proin-pistos
181,1,1831,palia-eykairia
131,1,1064,avevaios
243,2,2345,pistos
183,2,958,palia-eykairia
208,2,970,palia-eykairia
169,2,890,poly-kalos
279,1,1050,palia-eykairia
260,1,849,poly-kalos
207,1,1260,palia-eykairia
168,2,1311,palia-eykairia
155,2,1654,palia-eykairia
173,2,1771,palia-eykairia
330,1,3903,palia-eykairia
326,1,1571,palia-eykairia
314,1,1617,palia-eykairia
187,2,2011,palia-eykairia
238,1,861,palia-eykairia
204,2,1267,palia-eykairia
187,1,1046,proin-pistos
187,1,987,palia-eykairia
172,2,1675,palia-eykairia
151,1,1550,palia-eykairia
135,1,2534,proin-pistos
347,1,1218,palia-eykairia
250,1,832,palia-eykairia
221,1,832,palia-eykairia
173,1,2000,palia-eykairia
162,1,807,proin-pistos
124,1,832,palia-eykairia
117,1,1021,palia-eykairia
333,2,1374,avevaios
285,1,840,palia-eykairia
280,1,905,proin-kalos
172,1,1802,palia-eykairia
166,1,776,palia-eykairia
166,1,834,palia-eykairia
151,2,1025,palia-eykairia
155,1,948,pistos
218,1,1756,palia-eykairia
230,1,895,avevaios
210,1,1168,avevaios
174,1,924,poly-kalos
165,1,2017,palia-eykairia
258,1,1013,palia-eykairia
214,2,863,palia-eykairia
118,1,828,palia-eykairia
351,1,1412,adiaforos
222,1,1655,palia-eykairia
154,1,2334,palia-eykairia
152,2,2626,palia-eykairia
214,1,1324,palia-eykairia
232,1,840,palia-eykairia
351,1,1037,efkairia
335,2,978,palia-eykairia
236,1,921,palia-eykairia
203,1,4197,palia-eykairia
162,1,1253,palia-eykairia
132,1,790,efkairia
356,1,928,palia-eykairia
245,1,1634,palia-eykairia
158,1,897,poly-kalos
335,1,1563,avevaios
334,1,832,poly-kalos
176,2,1798,palia-eykairia
175,2,817,palia-eykairia
307,1,1479,palia-eykairia
216,1,3151,proin-pistos
198,2,1361,palia-eykairia
202,1,782,palia-eykairia
194,2,1786,palia-eykairia
126,1,1107,efkairia
225,1,1319,palia-eykairia
124,4,505,proin-pistos
162,3,650,proin-pistos
127,3,604,proin-pistos
222,3,139,proin-pistos
267,3,430,proin-pistos
144,3,684,palia-eykairia
153,4,739,proin-pistos
265,3,741,proin-pistos
117,6,565,proin-pistos
128,7,588,proin-pistos
181,3,689,avevaios
173,5,340,proin-pistos
180,4,131,proin-pistos
216,4,596,proin-pistos
254,3,376,proin-pistos
151,3,97,adiaforos
246,4,698,proin-pistos
135,6,95,proin-pistos
162,3,123,palia-eykairia
167,3,751,proin-pistos
119,3,120,avevaios
224,3,554,proin-pistos
161,3,442,avevaios
145,4,304,efkairia
133,3,335,pistos
195,3,487,proin-pistos
195,3,155,pistos
133,3,577,avevaios
340,3,258,proin-pistos
137,4,607,proin-pistos
131,3,651,proin-pistos
251,3,320,proin-pistos
159,3,366,proin-pistos
225,3,545,proin-pistos
174,3,556,proin-pistos
146,3,408,proin-pistos
118,5,595,proin-pistos
313,3,218,palia-eykairia
120,3,658,proin-pistos
280,3,357,proin-pistos
141,3,166,palia-eykairia
169,4,61,efkairia
235,3,618,proin-pistos
168,3,169,proin-pistos
330,4,603,proin-pistos
161,3,361,proin-pistos
242,4,288,proin-pistos
159,4,535,palia-eykairia
158,3,207,proin-pistos
155,3,676,proin-pistos
134,5,761,proin-pistos
215,3,38,proin-pistos
125,3,105,proin-pistos
166,3,474,proin-pistos
127,4,276,proin-kalos
273,3,316,proin-pistos
170,5,639,pistos
134,3,415,proin-pistos
320,3,575,proin-pistos
222,4,303,proin-pistos
158,4,634,proin-pistos
173,3,387,proin-pistos
173,4,678,efkairia
292,5,90,proin-kalos
133,4,404,proin-pistos
221,3,577,proin-pistos
196,3,374,proin-pistos
160,3,471,avevaios
120,3,410,proin-pistos
151,3,538,proin-pistos
219,3,318,proin-pistos
119,3,218,poly-kalos
183,5,672,proin-pistos
323,3,691,proin-kalos
163,3,474,proin-pistos
154,3,446,palia-eykairia
117,6,534,adiaforos
316,4,633,poly-kalos
176,3,451,efkairia
160,3,487,proin-pistos
117,3,508,proin-pistos
138,3,373,proin-pistos
146,5,591,proin-pistos
155,3,648,proin-pistos
162,3,118,proin-pistos
152,3,401,proin-pistos
170,3,605,proin-pistos
305,3,113,poly-kalos
148,4,709,proin-pistos
237,3,412,proin-pistos
186,3,710,proin-pistos
134,3,616,proin-pistos
172,3,212,proin-pistos
166,4,650,proin-pistos
167,3,737,proin-pistos
183,7,745,pistos
135,3,110,proin-pistos
235,3,2,avevaios
210,3,542,poly-kalos
187,3,639,proin-pistos
159,3,482,poly-kalos
131,4,1377,proin-kalos
193,3,3471,proin-kalos
125,3,780,palia-eykairia
172,4,1432,proin-kalos
225,3,2831,adiaforos
186,3,1958,proin-kalos
113,8,1287,proin-kalos
172,5,1433,proin-kalos
145,6,2686,proin-pistos
274,3,1263,proin-kalos
147,8,3187,palia-eykairia
165,13,4205,proin-kalos
183,4,1243,avevaios
176,8,2712,adiaforos
127,4,2604,pistos
208,8,22708,proin-kalos
173,4,3001,proin-kalos
195,3,2311,proin-kalos
252,4,2372,proin-kalos
151,3,838,proin-kalos
263,4,1990,proin-kalos
168,4,1552,proin-kalos
113,4,1126,proin-kalos
193,3,1972,proin-pistos
180,3,6350,proin-kalos
120,10,1600,proin-kalos
168,10,1002,pistos
120,4,1739,proin-kalos
177,4,2156,palia-eykairia
202,5,1624,proin-kalos
168,3,4475,proin-kalos
166,10,4063,pistos
190,3,1261,proin-kalos
256,3,1207,proin-kalos
130,4,3930,proin-kalos
165,5,875,proin-kalos
169,7,2662,proin-kalos
176,5,4420,proin-kalos
125,4,890,proin-kalos
121,3,1051,proin-kalos
160,3,1067,pistos
232,3,1317,proin-kalos
131,9,11157,proin-kalos
312,4,1851,proin-kalos
131,6,2745,proin-kalos
197,5,1509,proin-kalos
183,3,1412,proin-kalos
282,3,1147,palia-eykairia
188,4,818,proin-kalos
152,3,905,proin-pistos
121,4,5584,efkairia
120,5,2763,palia-eykairia
284,4,1184,efkairia
126,3,1858,proin-kalos
139,3,887,poly-kalos
124,5,4724,efkairia
340,3,1273,efkairia
142,5,4834,proin-kalos
182,3,1777,proin-kalos
132,3,3374,adiaforos
249,4,5082,proin-kalos
322,3,852,proin-kalos
118,11,4670,proin-kalos
179,3,826,proin-kalos
172,3,2092,palia-eykairia
302,5,3079,proin-kalos
162,4,1984,proin-kalos
169,4,1148,proin-kalos
148,5,4623,proin-kalos
208,4,1048,proin-kalos
173,6,2448,proin-kalos
221,4,937,proin-kalos
358,3,1020,proin-kalos
183,7,4491,adiaforos
181,8,10796,adiaforos
147,4,1193,palia-eykairia
212,3,1328,efkairia
167,9,15123,proin-kalos
151,3,1220,proin-kalos
116,4,3961,proin-kalos
226,3,934,proin-kalos
175,4,3143,proin-kalos
341,3,1210,pistos
134,7,1933,poly-kalos
159,6,951,proin-kalos
173,4,924,efkairia
169,5,1729,proin-kalos
282,3,1274,proin-kalos
159,4,1796,proin-kalos
172,3,1008,proin-kalos
208,5,1311,efkairia
215,5,4780,proin-kalos
141,3,2682,pistos
169,5,3117,proin-kalos
187,3,1075,efkairia
135,6,1404,proin-kalos
271,3,2002,proin-kalos
163,5,1011,pistos
167,15,10585,proin-kalos
140,3,1561,proin-kalos
128,5,1951,proin-kalos
179,8,3353,proin-kalos
148,5,1054,proin-kalos
201,4,1872,palia-eykairia
218,3,1382,poly-kalos
258,4,1353,poly-kalos
130,6,3039,proin-kalos
153,5,1404,proin-kalos
181,4,1408,proin-kalos
123,3,1966,proin-kalos
135,5,1296,proin-kalos
239,33,6614,efkairia
194,3,2911,proin-kalos
174,4,950,proin-kalos
232,3,1089,proin-kalos
155,4,2012,proin-kalos
163,4,975,avevaios
211,5,3957,proin-kalos
172,3,1202,proin-kalos
129,6,1842,adiaforos
145,3,1994,proin-kalos
197,3,1229,proin-kalos
252,3,1493,efkairia
151,4,3082,proin-kalos
155,3,782,proin-kalos
179,6,1202,proin-kalos
235,3,1903,proin-kalos
114,3,1029,proin-kalos
201,3,929,palia-eykairia
223,3,1324,proin-kalos
173,4,1641,proin-pistos
193,5,2364,proin-kalos
253,7,1324,proin-kalos
237,4,3923,proin-kalos
204,4,1634,proin-kalos
173,6,2440,adiaforos
155,3,1379,proin-kalos
356,3,1621,proin-kalos
208,3,1691,proin-kalos
121,5,1382,proin-kalos
207,3,1439,proin-kalos
134,3,1540,proin-kalos
