UserID,R,F,M
6845,86,1,134.45
6851,229,2,196.64
6864,4,18,20978.992
6869,194,2,159.66
6871,26,4,871.4099
6874,35,13,2702.5203
6891,35,12,5228.1597
6907,103,1,42.010002
6916,37,7,6307.561
6923,83,3,4325.64
6926,142,5,4834.42
6942,2,21,12955.881
6943,82,2,8.390015
6972,18,7,10967.259
6993,254,2,277.31
7024,194,1,177.31
7039,316,1,30.25
7043,350,1,294.12
7053,25,1,1435.3
7067,105,3,428.56003
7074,0,67,66801.66
7093,107,3,626.05005
7098,251,3,320.17
7109,182,3,1777.3301
7114,2,5,1927.3
7123,286,1,117.65
7138,132,3,3373.8901
7142,166,1,155.54999
7143,55,14,7947.9
7153,176,2,302.52002
7169,26,12,2925.42
7172,85,25,30638.727
7179,112,5,2161.77
7182,214,2,661.36
7189,201,1,92.44
7230,53,1,163.87
7238,8,6,2579.18
7247,34,1,92.44
7250,32,1,403.36
7254,176,2,2258.82
7256,200,2,592.44
7260,159,3,366.38
7263,14,10,3897.8699
7281,331,2,1777.3
7282,225,3,545.38
7301,1,7,2369.3098
7316,249,4,5082.211
7323,15,2,812.6
7330,322,3,852.1
7340,174,3,556.3
7350,7,4,3755.47
7369,152,1,204.20001
7381,4,3,-576.48
7384,231,1,226.89
7385,188,1,58.829998
7387,181,2,197.48
7391,9,19,15131.554
7398,118,11,4670.18
7410,252,1,126.05
7418,8,19,34603.39
7421,299,1,126.05
7430,10,1,935.29004
7431,162,1,1246.2201
7442,20,9,9470.181
7447,179,3,826.0499
7448,142,1,151.26
7453,172,3,2091.59
7475,190,2,915.98
7483,0,2,281.52
7491,111,2,2009.23
7505,25,2,1789.5
7506,120,1,52.52
7510,327,1,199.16
7513,158,2,1182.35
7525,207,1,231.09
7544,2,18,7162.61
7552,169,2,397.90002
7554,104,2,126.049995
7555,146,1,31.079994
7556,10,4,1132.36
7560,22,15,19572.26
7562,146,3,407.56998
7567,11,3,2750.42
7575,2,3,824.37
7576,180,1,388.24
7596,239,1,743.68994
7599,302,5,3079.0002
7602,18,1,511.76
7608,334,2,1696.6501
7638,351,1,902.52997
7643,97,2,386.56
7646,1,5,1043.69
7659,15,17,7612.61
7664,228,1,210.08
7683,362,1,172.27
7689,1,12,9519.55
7693,162,4,1984.05
